Customer_ID,Customer_Name,Age,Gender,City,Customer_Segment,Registration_Date,Total_Orders,Total_Spending,Last_Purchase_Date,Total_Profit,Days_Since_Last_Purchase,Churn_Status
C1000,Ishita_1,46,Male,Varanasi,Premium,2023-03-13,10,68118.0,2026-03-17,16472.0,105,No
C1001,Arjun_2,36,Male,Mumbai,Occasional,2024-04-03,4,45288.0,2025-06-18,11087.0,377,Yes
C1002,Rohan_3,41,Female,Agra,Occasional,2023-11-05,4,19915.0,2026-05-17,5582.0,44,No
C1003,Rohan_4,19,Male,Prayagraj,Premium,2023-10-04,7,44905.0,2025-08-01,10376.0,333,Yes
C1004,Meera_5,44,Female,Gurugram,Regular,2024-11-12,16,81544.5,2025-09-30,23769.5,273,Yes
C1005,Ishita_6,20,Female,Delhi,Regular,2024-10-08,7,50316.0,2026-01-21,12745.0,160,Yes
C1006,Neha_7,21,Female,Kanpur,Occasional,2023-01-14,10,63459.5,2026-02-08,13961.5,142,Yes
C1007,Rohan_8,19,Female,Mumbai,Premium,2024-01-02,9,67720.5,2026-06-22,15703.5,8,No
C1008,Vivaan_9,52,Female,Agra,Premium,2024-07-15,11,70978.5,2026-06-21,12553.5,9,No
C1009,Rohan_10,59,Female,Prayagraj,Occasional,2024-04-21,10,89023.5,2026-06-16,19838.5,14,No
C1010,Karan_11,27,Female,Kanpur,Premium,2023-09-27,13,117628.5,2026-02-16,23916.5,134,Yes
C1011,Meera_12,31,Male,Agra,Regular,2024-12-02,16,78116.0,2026-05-20,17012.0,41,No
C1012,Aditi_13,41,Male,Kanpur,Premium,2025-02-02,12,52203.5,2026-06-10,11523.5,20,No
C1013,Neha_14,46,Female,Gurugram,Regular,2023-03-06,10,60817.0,2026-01-29,11904.0,152,Yes
C1014,Yash_15,18,Male,Agra,Regular,2024-04-16,6,19163.5,2026-05-25,3397.5,36,No
C1015,Kavya_16,25,Female,Lucknow,Premium,2023-10-16,17,100528.0,2026-05-28,21147.0,33,No
C1016,Vivaan_17,58,Female,Varanasi,Premium,2023-07-20,6,48799.5,2026-04-10,11890.5,81,No
C1017,Priya_18,40,Female,Lucknow,Premium,2025-03-15,8,37091.5,2026-04-01,6595.5,90,No
C1018,Sneha_19,44,Female,Prayagraj,Regular,2025-01-08,14,105143.0,2025-10-18,29973.0,255,Yes
C1019,Ishita_20,18,Female,Delhi,Occasional,2024-05-17,11,56700.5,2026-05-06,13735.5,55,No
C1020,Yash_21,32,Male,Gurugram,Regular,2024-07-07,13,71185.5,2026-03-31,15307.5,91,No
C1021,Aditi_22,49,Female,Varanasi,Regular,2024-04-29,21,97591.0,2026-05-30,25447.0,31,No
C1022,Vivaan_23,30,Male,Jaipur,Premium,2024-11-29,14,67717.5,2026-06-18,14063.5,12,No
C1023,Rahul_24,23,Male,Mumbai,Regular,2024-09-11,7,42637.0,2025-05-29,10452.0,397,Yes
C1024,Simran_25,45,Male,Mumbai,Regular,2023-07-09,10,33816.0,2025-12-23,5848.0,189,Yes
C1025,Riya_26,20,Male,Gurugram,Regular,2024-03-31,10,118927.0,2026-05-22,27252.0,39,No
C1026,Neha_27,59,Male,Lucknow,Regular,2025-04-06,11,54423.0,2026-03-29,12786.0,93,No
C1027,Riya_28,29,Male,Jaipur,Premium,2024-01-21,11,52641.0,2026-03-14,9961.0,108,No
C1028,Riya_29,34,Male,Lucknow,Regular,2023-01-02,10,59778.5,2026-05-20,12162.5,41,No
C1029,Ananya_30,18,Male,Lucknow,Regular,2023-05-10,17,119711.0,2026-03-24,33025.0,98,No
C1030,Ananya_31,21,Male,Varanasi,Regular,2023-07-03,8,45885.5,2026-06-09,5093.5,21,No
C1031,Meera_32,22,Female,Agra,Regular,2023-07-17,11,45079.0,2026-06-24,7287.0,6,No
C1032,Aditya_33,26,Male,Lucknow,Premium,2023-11-22,6,35769.5,2026-05-15,5729.5,46,No
C1033,Ishita_34,53,Male,Jaipur,Regular,2024-05-25,6,48984.5,2026-05-24,14867.5,37,No
C1034,Priya_35,58,Female,Jaipur,Regular,2024-10-01,11,64573.5,2026-03-06,15929.5,116,No
C1035,Kavya_36,28,Male,Lucknow,Regular,2024-04-17,6,31569.0,2026-04-26,5563.0,65,No
C1036,Simran_37,24,Female,Delhi,Occasional,2023-12-12,10,77102.0,2026-01-21,18079.0,160,Yes
C1037,Riya_38,19,Female,Lucknow,Occasional,2023-09-11,13,70589.5,2026-03-14,13477.5,108,No
C1038,Aditya_39,26,Male,Varanasi,Premium,2024-10-20,8,37086.0,2026-03-28,8775.0,94,No
C1039,Rahul_40,41,Male,Jaipur,Premium,2024-11-03,5,27680.5,2025-12-19,4838.5,193,Yes
C1040,Aditya_41,25,Female,Lucknow,Premium,2023-04-14,14,118356.0,2026-04-25,28028.0,66,No
C1041,Aditya_42,52,Female,Gurugram,Regular,2023-12-04,10,73952.5,2026-04-22,16052.5,69,No
C1042,Meera_43,53,Female,Gurugram,Regular,2025-03-11,10,48175.0,2026-06-02,12923.0,28,No
C1043,Meera_44,25,Female,Jaipur,Regular,2024-02-05,15,73922.5,2026-05-26,17315.5,35,No
C1044,Ananya_45,39,Male,Delhi,Premium,2025-01-19,11,111718.0,2026-05-11,22137.0,50,No
C1045,Aarav_46,25,Female,Delhi,Regular,2023-08-14,9,59992.0,2026-05-27,13494.0,34,No
C1046,Aditya_47,22,Male,Lucknow,Regular,2025-03-26,8,55946.5,2026-04-21,10660.5,70,No
C1047,Ananya_48,34,Female,Lucknow,Occasional,2023-06-07,8,26524.0,2026-06-26,3673.0,4,No
C1048,Aditya_49,58,Female,Delhi,Regular,2023-12-15,10,68967.0,2026-04-17,19736.0,74,No
C1049,Pooja_50,38,Male,Lucknow,Regular,2023-06-10,11,69727.5,2026-04-20,17854.5,71,No
C1050,Sneha_51,59,Female,Gurugram,Occasional,2024-07-23,11,49247.5,2026-03-20,11525.5,102,No
C1051,Kavya_52,49,Female,Agra,Regular,2024-10-24,16,80255.0,2026-06-28,19365.0,2,No
C1052,Meera_53,43,Female,Kanpur,Premium,2024-01-28,12,41774.5,2026-06-01,9211.5,29,No
C1053,Aditi_54,46,Male,Varanasi,Occasional,2024-06-21,4,29057.0,2026-03-14,6859.0,108,No
C1054,Priya_55,24,Male,Mumbai,Regular,2024-11-15,10,79563.0,2026-05-14,16608.0,47,No
C1055,Yash_56,40,Male,Delhi,Regular,2023-12-20,12,47168.0,2026-05-11,12691.0,50,No
C1056,Kavya_57,39,Female,Gurugram,Regular,2023-12-08,17,99481.5,2026-02-13,23013.5,137,Yes
C1057,Priya_58,32,Male,Prayagraj,Regular,2024-03-19,11,49785.0,2026-06-02,11459.0,28,No
C1058,Simran_59,22,Male,Noida,Regular,2025-02-12,11,38241.0,2026-05-08,8482.0,53,No
C1059,Kavya_60,57,Female,Delhi,Occasional,2023-09-26,10,71256.5,2026-06-23,10671.5,7,No
C1060,Riya_61,34,Male,Delhi,Regular,2025-02-25,5,20737.5,2025-02-23,3789.5,492,Yes
C1061,Aarav_62,40,Male,Mumbai,Regular,2024-10-02,14,78803.0,2026-06-27,16510.0,3,No
C1062,Aditi_63,49,Female,Kanpur,Regular,2024-07-13,9,55562.5,2026-04-07,11038.5,84,No
C1063,Aditya_64,18,Female,Noida,Premium,2024-12-04,12,57531.0,2026-05-04,10245.0,57,No
